Country_Code,GDP,year
AO,2775.74642272991,2018
AO,2911.60084214038,2017
AO,3020.98332805417,2016
AO,3213.90261080059,2015
AO,3300.73510980871,2014
AO,3268.63890723473,2013
AO,3236.57494513146,2012
AO,3099.9422899117,2011
AO,3114.69608592822,2010
AO,3100.60927365473,2009
AO,3193.28772270836,2008
AO,2983.0418728513,2007
AO,2716.25302638209,2006
AO,2526.41057941008,2005
AO,2277.86696532928,2004
AO,2128.19579323903,2003
AO,2139.87259662901,2002
AO,1947.85672988915,2001
AO,1932.98847886814,2000
AO,1938.86184025918,1999
AO,1961.03722525713,1998
AO,1936.91619338589,1997
AO,1867.93503101029,1996
AO,1701.69727652709,1995
AO,1529.994431256,1994
AO,1559.517151584,1993
AO,2118.16654532324,1992
AO,2324.36937619854,1991
AO,2380.17624300565,1990
AO,2550.29431304775,1989
AO,2637.78185527742,1988
AO,2571.49691872454,1987
AO,2557.95883799319,1986
AO,2577.46509177461,1985
AO,2583.61982616848,1984
AO,2529.40192266936,1983
AO,2519.35158518789,1982
AO,2613.73938612911,1981
AO,2835.45918525994,1980
AO,NA,1979
AO,NA,1978
AO,NA,1977
AO,NA,1976
AO,NA,1975
AO,NA,1974
AO,NA,1973
AO,NA,1972
AO,NA,1971
AO,NA,1970
AO,NA,1969
AO,NA,1968
AO,NA,1967
AO,NA,1966
AO,NA,1965
AO,NA,1964
AO,NA,1963
AO,NA,1962
AO,NA,1961
AO,NA,1960
BI,265.672394335817,2018
BI,269.47688960656,2017
BI,274.513363399011,2016
BI,280.966831311923,2015
BI,299.077479357732,2014
BI,296.816900573427,2013
BI,293.232620547249,2012
BI,290.948032142504,2011
BI,289.856950614392,2010
BI,288.941917826614,2009
BI,292.793764973044,2008
BI,290.979116170807,2007
BI,291.866399549575,2006
BI,287.030688980174,2005
BI,295.235119511615,2004
BI,292.318595090044,2003
BI,305.4383585397,2002
BI,300.799882759047,2001
BI,302.219163799824,2000
BI,311.230622126912,1999
BI,322.030961886279,1998
BI,313.357142719203,1997
BI,318.395682563648,1996
BI,346.321302413385,1995
BI,399.309631526324,1994
BI,417.919297574139,1993
BI,431.918861835852,1992
BI,439.186232093461,1991
BI,427.030031561228,1990
BI,421.287694857326,1989
BI,423.919810604935,1988
BI,412.654046294404,1987
BI,400.156015299278,1986
BI,394.902104849267,1985
BI,360.98937587784,1984
BI,369.268854137523,1983
BI,365.710192122894,1982
BI,378.943663862466,1981
BI,351.900419860718,1980
BI,363.382611221262,1979
BI,366.426911477842,1978
BI,380.747850621793,1977
BI,350.45300889241,1976
BI,332.021353354811,1975
BI,338.001655805809,1974
BI,349.110750686492,1973
BI,326.146546923774,1972
BI,348.446416961289,1971
BI,347.474495973999,1970
BI,292.685745718482,1969
BI,303.540804264871,1968
BI,311.798763802316,1967
BI,280.9791596902,1966
BI,275.137917931711,1965
BI,272.062735830387,1964
BI,263.40036642487,1963
BI,258.32430129828,1962
BI,242.941546520881,1961
BI,288.878981794325,1960
BJ,1071.50452156932,2018
BJ,1032.90471194182,2017
BJ,1006.03926633023,2016
BJ,1002.41886879614,2015
BJ,1014.4330062135,2014
BJ,982.399206290516,2013
BJ,943.918771531001,2012
BJ,927.716412836707,2011
BJ,928.246655329144,2010
BJ,936.565651071554,2009
BJ,943.203380303862,2008
BJ,926.740113754071,2007
BJ,900.62053578735,2006
BJ,893.91536869992,2005
BJ,907.624431209378,2004
BJ,896.146763201736,2003
BJ,893.137100961634,2002
BJ,879.854463773645,2001
BJ,861.213292013209,2000
BJ,838.976786975768,1999
BJ,821.459971433599,1998
BJ,814.901395438676,1997
BJ,793.7950526962,1996
BJ,781.0647884601,1995
BJ,752.277508740764,1994
BJ,765.479914438342,1993
BJ,756.080888165851,1992
BJ,757.403145107877,1991
BJ,749.459666582926,1990
BJ,709.188907710243,1989
BJ,752.704034985609,1988
BJ,750.403840602099,1987
BJ,785.143070110497,1986
BJ,791.727164830118,1985
BJ,758.361165674301,1984
BJ,723.483520668885,1983
BJ,778.638765032765,1982
BJ,783.925193667226,1981
BJ,733.490637341118,1980
BJ,706.10443231183,1979
BJ,680.651097993039,1978
BJ,689.858786250037,1977
BJ,674.040866533898,1976
BJ,684.962291595042,1975
BJ,737.948326243781,1974
BJ,731.313119718855,1973
BJ,721.876315776552,1972
BJ,694.034044850035,1971
BJ,720.605098618137,1970
BJ,721.532496801575,1969
BJ,716.640156003181,1968
BJ,704.838581809146,1967
BJ,711.858170524999,1966
BJ,701.332145059658,1965
BJ,679.356446871351,1964
BJ,649.260123067951,1963
BJ,631.42071510316,1962
BJ,665.431250366532,1961
BJ,655.913007563868,1960
BF,694.492813126351,2018
BF,669.276310328333,2017
BF,648.420480176012,2016
BF,630.124750752312,2015
BF,624.576885187665,2014
BF,616.741331164082,2013
BF,600.731343697818,2012
BF,581.603658737407,2011
BF,561.847221302489,2010
BF,533.470084831931,2009
BF,533.471299938288,2008
BF,519.26101218434,2007
BF,514.113131757062,2006
BF,499.192797571217,2005
BF,474.086412333459,2004
BF,468.263047790124,2003
BF,448.128856317091,2002
BF,442.914122870048,2001
BF,428.309796566198,2000
BF,433.104727597234,1999
BF,415.273513470241,1998
BF,397.838955257373,1997
BF,383.973583031147,1996
BF,354.841188502861,1995
BF,344.371184069503,1994
BF,348.581211032689,1993
BF,345.401816823349,1992
BF,353.206720757378,1991
BF,332.153276660935,1990
BF,343.089820260752,1989
BF,344.904464201203,1988
BF,334.888996959212,1987
BF,344.993912306641,1986
BF,328.715164630481,1985
BF,311.788334185274,1984
BF,326.730273513319,1983
BF,334.96046501527,1982
BF,314.286582559959,1981
BF,309.805283645997,1980
BF,315.71696837442,1979
BF,312.546378441226,1978
BF,306.319820987094,1977
BF,312.385989060691,1976
BF,294.050755641012,1975
BF,291.303145502961,1974
BF,274.152506421818,1973
BF,277.846496112942,1972
BF,276.290476527029,1971
BF,277.184105813715,1970
BF,281.73763833434,1969
BF,280.960315015046,1968
BF,277.313189171404,1967
BF,259.130285238002,1966
BF,262.001316967784,1965
BF,256.568911549561,1964
BF,254.731183016035,1963
BF,261.880916903197,1962
BF,250.394091012667,1961
BF,244.167257873365,1960
BW,6843.84612121161,2018
BW,6662.5764477869,2017
BW,6490.83463593483,2016
BW,6141.20394726616,2015
BW,6547.12253923766,2014
BW,6284.97677820877,2013
BW,5742.919242654,2012
BW,5850.07858485864,2011
BW,5584.50343260122,2010
BW,5179.4138607146,2009
BW,6158.61629368051,2008
BW,6085.6354476126,2007
BW,5865.00026521361,2006
BW,5514.21742664705,2005
BW,5369.42516766112,2004
BW,5320.440295139,2003
BW,5175.47655317231,2002
BW,4971.96371794188,2001
BW,5062.64289173588,2000
BW,5070.94772048729,1999
BW,4724.93670942028,1998
BW,4809.4439184672,1997
BW,4543.2105349273,1996
BW,4399.1388580936,1995
BW,4219.4408088678,1994
BW,4186.14547358363,1993
BW,4226.73999498293,1992
BW,4224.09857544948,1991
BW,4039.46544455099,1990
BW,3888.73045113925,1989
BW,3536.42325387877,1988
BW,3050.23176245012,1987
BW,2816.7693715823,1986
BW,2693.78188151685,1985
BW,2603.44865679004,1984
BW,2484.51795571067,1983
BW,2276.04982459673,1982
BW,2111.34563888905,1981
BW,2002.99615272235,1980
BW,1859.49457887642,1979
BW,1760.57070364001,1978
BW,1635.51259140874,1977
BW,1539.17387299982,1976
BW,1464.68785200858,1975
BW,1419.44206854257,1974
BW,1370.73282732856,1973
BW,1184.47370056075,1972
BW,971.592899383618,1971
BW,785.474884442778,1970
BW,674.389989055809,1969
BW,588.907189594904,1968
BW,535.405247145742,1967
BW,508.141727280139,1966
BW,480.490649773385,1965
BW,460.824434130607,1964
BW,441.728045569419,1963
BW,426.901637851857,1962
BW,409.502166469248,1961
BW,393.861742487166,1960
CF,395.020015455909,2018
CF,387.35795131742,2017
CF,376.858254120398,2016
CF,366.322853938121,2015
CF,351.561554911625,2014
CF,349.821171688973,2013
CF,553.729578314912,2012
CF,532.38295493852,2011
CF,519.141456408484,2010
CF,492.215398914836,2009
CF,450.313616886022,2008
CF,450.762785401893,2007
CF,439.294330902768,2006
CF,427.968043155237,2005
CF,433.825227770233,2004
CF,418.240532289858,2003
CF,452.808702217035,2002
CF,446.658634192083,2001
CF,437.168928414826,2000
CF,460.827900216085,1999
CF,457.148858416438,1998
CF,448.634663639551,1997
CF,437.925054761723,1996
CF,468.150527620686,1995
CF,448.784442959801,1994
CF,441.384907508364,1993
CF,454.148968239471,1992
CF,500.991150890901,1991
CF,519.786735961912,1990
CF,547.973638780833,1989
CF,551.209370152878,1988
CF,551.039434586106,1987
CF,587.348322352386,1986
CF,574.324850721819,1985
CF,559.576063736741,1984
CF,517.400561236801,1983
CF,569.909860587753,1982
CF,535.271803204363,1981
CF,549.851069399498,1980
CF,581.982298397451,1979
CF,603.119667759043,1978
CF,602.199701083141,1977
CF,586.137157573357,1976
CF,564.260762473446,1975
CF,573.024209010012,1974
CF,549.35454984184,1973
CF,549.598711724139,1972
CF,560.464655722271,1971
CF,565.812174200598,1970
CF,565.30834319678,1969
CF,540.093413129288,1968
CF,544.747072768765,1967
CF,531.90309134597,1966
CF,539.817040213822,1965
CF,545.874892158702,1964
CF,545.581408664112,1963
CF,560.326768152575,1962
CF,593.189558332525,1961
CF,575.894391468806,1960
CM,1461.01969999317,2018
CM,1444.90682916573,2017
CM,1435.61830727839,2016
CM,1415.00009710569,2015
CM,1381.81938454907,2014
CM,1347.2130636706,2013
CM,1319.66961634054,2012
CM,1297.3064962694,2011
CM,1290.9013745759,2010
CM,1290.89961351149,2009
CM,1295.02211276052,2008
CM,1295.73067471287,2007
CM,1277.32990712342,2006
CM,1264.74345218659,2005
CM,1271.74326874167,2004
CM,1221.09446141454,2003
CM,1189.96707897027,2002
CM,1169.92670464984,2001
CM,1151.27689302947,2000
CM,1138.36298546565,1999
CM,1118.50819963079,1998
CM,1096.69757735007,1997
CM,1077.38925202961,1996
CM,1062.01607349987,1995
CM,1060.87326552909,1994
CM,1070.98275377636,1993
CM,1196.85081918895,1992
CM,1271.04658608388,1991
CM,1360.47765296011,1990
CM,1492.28176078781,1989
CM,1565.13475286994,1988
CM,1749.42466570751,1987
CM,1842.96431745669,1986
CM,1778.88090277491,1985
CM,1695.95061001327,1984
CM,1622.46829304371,1983
CM,1549.61272438048,1982
CM,1475.98950174546,1981
CM,1305.68366184321,1980
CM,1375.91817432986,1979
CM,1334.48750457376,1978
CM,1124.03776731799,1977
CM,1014.07667154038,1976
CM,1102.17636716094,1975
CM,1018.79726418801,1974
CM,945.932707437732,1973
CM,922.880502053864,1972
CM,923.604760607703,1971
CM,916.710625779195,1970
CM,912.754108454771,1969
CM,892.491104144478,1968
CM,860.08689924625,1967
CM,988.594437772544,1966
CM,966.950594049791,1965
CM,969.229047665523,1964
CM,956.891728661397,1963
CM,942.759289850998,1962
CM,932.280026939942,1961
CM,935.699954812011,1960
CV,3853.67940035241,2018
CV,3719.71306047915,2017
CV,3560.1400729534,2016
CV,3415.06266730931,2015
CV,3383.8422809791,2014
CV,3361.09387702205,2013
CV,3341.7421054836,2012
CV,3309.20121643898,2011
CV,3194.61667734233,2010
CV,3159.58698693977,2009
CV,3238.44159287498,2008
CV,3056.97102851154,2007
CV,2683.83943856892,2006
