date,temp_max,temp_min,temp_mean,precipitation,snowfall,wind_max,city
2021-01-01,37.4,26,31.3,0.012,0.055,6.3,Boston
2021-01-02,43.5,31.1,38.9,0.37,0.469,14.8,Boston
2021-01-03,37,26.4,32.1,0.067,0.303,10.8,Boston
2021-01-04,37.4,29.9,33.6,0.004,0.028,11.5,Boston
2021-01-05,34.2,29.7,32,0.051,0.358,9.2,Boston
2021-01-06,38.6,28,32.9,0.008,0.055,12.1,Boston
2021-01-07,37,27.4,30.9,0,0,12.4,Boston
2021-01-08,38.8,25.1,29.5,0,0,11.7,Boston
2021-01-09,32.9,23.2,28.2,0,0,10.5,Boston
2021-01-10,40.1,24.6,30.6,0,0,10.4,Boston
2021-01-11,38.7,22.6,28.9,0,0,5.8,Boston
2021-01-12,40.8,25,31.3,0,0,8.5,Boston
2021-01-13,41,25.3,31.9,0.012,0.083,8.5,Boston
2021-01-14,37.9,27.9,33,0.102,0.055,5.5,Boston
2021-01-15,41.2,29.3,35.4,0.004,0,9.9,Boston
2021-01-16,51.6,37.3,43.7,1.106,0,22.6,Boston
2021-01-17,43.3,33.5,38.2,0,0,22,Boston
2021-01-18,44,31,37.1,0,0,15,Boston
2021-01-19,40.8,23.3,31,0,0,10.7,Boston
2021-01-20,37.9,24.7,31,0.008,0.055,11.1,Boston
2021-01-21,34.3,19.8,26,0,0,11.4,Boston
2021-01-22,44,26.1,32.6,0.035,0.165,9.6,Boston
2021-01-23,30.2,17,25.5,0,0,17.6,Boston
2021-01-24,29.3,15,21.3,0,0,20.4,Boston
2021-01-25,36.5,19.8,26.1,0,0,13.3,Boston
2021-01-26,34.6,22.8,28.6,0.165,1.157,8.7,Boston
2021-01-27,36.7,29.1,32.6,0.154,1.102,6.9,Boston
2021-01-28,31.5,19.6,28.3,0.11,0.744,13.8,Boston
2021-01-29,17,6.1,12,0.008,0.055,18.5,Boston
2021-01-30,20.3,6.2,12.1,0,0,13.8,Boston
2021-01-31,22.6,-2.4,12.4,0,0,7.8,Boston
2021-02-01,35.1,18.3,30,0.72,4.189,26.4,Boston
2021-02-02,35.6,30.8,33.5,0.634,2.646,29.8,Boston
2021-02-03,32.5,29.3,30.8,0,0,9,Boston
2021-02-04,37.6,20.9,30.5,0.008,0.055,10,Boston
2021-02-05,42.1,13.5,27.9,0.047,0.11,11.3,Boston
2021-02-06,41.7,25.7,32.2,0,0,19.2,Boston
2021-02-07,39.2,23.1,30.6,0.382,2.232,11,Boston
2021-02-08,30.4,6.9,19.9,0,0,13.3,Boston
2021-02-09,27.6,8.5,20.5,0.264,1.846,6.8,Boston
2021-02-10,30,8,17.9,0,0,8.9,Boston
2021-02-11,29.7,8.8,18.8,0.012,0.083,9.8,Boston
2021-02-12,24.3,6.1,15.4,0,0,11.4,Boston
2021-02-13,27.4,9.3,19.8,0,0,8.1,Boston
2021-02-14,33.6,25.6,29.2,0,0.028,7.6,Boston
2021-02-15,33.3,26.2,29.2,0.083,0.22,8.5,Boston
2021-02-16,44.4,32.4,38.3,0.571,0,15.1,Boston
2021-02-17,31.4,21.1,25.3,0,0,15.6,Boston
2021-02-18,29.8,20,25.2,0.102,0.689,9.7,Boston
2021-02-19,33.3,27.8,30.3,0.378,2.646,11.4,Boston
2021-02-20,32.6,19.5,27,0.051,0.358,10.8,Boston
2021-02-21,31.5,9.2,20.6,0,0,10.2,Boston
2021-02-22,40.3,2.3,26.1,0.287,0.055,16.4,Boston
2021-02-23,46.6,30.2,36.9,0,0,13.9,Boston
2021-02-24,50.6,32.5,41.2,0,0,17.7,Boston
2021-02-25,47.4,31.5,41.2,0,0,18.5,Boston
2021-02-26,39.6,22.5,30.7,0,0,9,Boston
2021-02-27,48.5,28.8,38,0.307,0.193,15.9,Boston
2021-02-28,47,29.7,38.6,0,0,10.8,Boston
2021-03-01,48.5,31.8,41,0.256,0,21.5,Boston
2021-03-02,28.6,10.3,19.8,0,0,25.9,Boston
2021-03-03,46.5,22.2,34.4,0,0,11.6,Boston
2021-03-04,39.2,26,32.1,0,0,16.8,Boston
2021-03-05,30.8,18.9,24.8,0,0,16,Boston
2021-03-06,34.9,17.5,25.5,0,0,12.2,Boston
2021-03-07,35.8,18.4,26.2,0,0,9.7,Boston
2021-03-08,37.9,19.8,28.4,0,0,8.9,Boston
2021-03-09,56.5,27,42.5,0,0,13.4,Boston
2021-03-10,48.6,26.7,37.7,0,0,10.9,Boston
2021-03-11,66.7,34.8,49.5,0,0,14.7,Boston
2021-03-12,59.8,43.2,53.7,0.02,0,15.4,Boston
2021-03-13,45,27,37.1,0,0,21.4,Boston
2021-03-14,44.6,22.4,34.9,0.012,0.083,22.2,Boston
2021-03-15,27,14.4,20.7,0,0,18.6,Boston
2021-03-16,39.9,18.6,27.4,0,0,10.9,Boston
2021-03-17,52.9,26.3,37.5,0,0,13.2,Boston
2021-03-18,49.2,33.2,40.6,0.535,0,15.2,Boston
2021-03-19,39.5,26.9,33.4,0.055,0.055,16.5,Boston
2021-03-20,56.5,25.1,39.5,0,0,9.9,Boston
2021-03-21,57.3,28.9,43,0,0,8.2,Boston
2021-03-22,57.1,30.6,44.1,0,0,8.5,Boston
2021-03-23,58.8,31.2,45.4,0,0,10.8,Boston
2021-03-24,55.1,36.9,46.9,0,0,7.4,Boston
2021-03-25,65.3,47.3,55.1,0.146,0,8.6,Boston
2021-03-26,68.1,52.4,59.2,0.079,0,19.6,Boston
2021-03-27,58.8,41.4,48.9,0,0,20.2,Boston
2021-03-28,57.8,40.5,47.5,0.579,0,19.7,Boston
2021-03-29,50.1,37.2,45,0.134,0,25.7,Boston
2021-03-30,57.4,29.5,43.1,0,0,14.1,Boston
2021-03-31,64.8,44,54.6,0.157,0,17.9,Boston
2021-04-01,54.7,34.8,45.5,0.965,0,17.6,Boston
2021-04-02,39.9,25.4,32.5,0,0,14,Boston
2021-04-03,48.7,25.8,36.2,0,0,10.6,Boston
2021-04-04,57.1,27.4,43,0,0,12.7,Boston
2021-04-05,54.1,42.3,48,0.004,0,15.4,Boston
2021-04-06,60.2,40.4,48.3,0,0,11.2,Boston
2021-04-07,56.7,40.3,47.7,0,0,10.2,Boston
2021-04-08,57.3,42.6,48.6,0,0,11.2,Boston
2021-04-09,59.9,39.1,50.2,0,0,9.7,Boston
2021-04-10,73.3,45.3,58.3,0,0,12.6,Boston
2021-04-11,55.6,43.4,48.3,0,0,15.7,Boston
2021-04-12,48.4,41.5,44.7,0.075,0,17.2,Boston
2021-04-13,54.1,38.7,47.2,0,0,13.4,Boston
2021-04-14,50.6,42.9,46.6,0.008,0,10.6,Boston
2021-04-15,49.4,41,44.4,0.181,0,13.1,Boston
2021-04-16,40.8,35.4,37.7,1.717,3.445,22.1,Boston
2021-04-17,47.5,36.4,40.7,0.098,0,15.9,Boston
2021-04-18,58.6,34.9,46.7,0.004,0,12.6,Boston
2021-04-19,63.3,37.6,51.3,0,0,7.6,Boston
2021-04-20,70.8,42,55.9,0.047,0,17.1,Boston
2021-04-21,66.6,38.4,53.5,0.106,0,18.9,Boston
2021-04-22,45.9,31.5,38.4,0.004,0,23.5,Boston
2021-04-23,56.5,34.5,45.8,0,0,21.6,Boston
2021-04-24,69.5,44.1,56.2,0,0,14.6,Boston
2021-04-25,53.8,43.5,49.9,0.323,0,9.1,Boston
2021-04-26,53.1,41.5,47.2,0,0,17.1,Boston
2021-04-27,65.4,38.2,50.2,0,0,13.3,Boston
2021-04-28,58,46.8,51.3,0.118,0,10.7,Boston
2021-04-29,54.2,46.4,48.5,0.78,0,8.7,Boston
2021-04-30,63,45.9,53.9,0.201,0,23.3,Boston
2021-05-01,61.1,40.6,50.1,0.122,0,15.8,Boston
2021-05-02,75.5,47.3,59,0.047,0,17.7,Boston
2021-05-03,63.3,49.5,55,0,0,10.8,Boston
2021-05-04,54.7,46.4,49.4,0.854,0,12.4,Boston
2021-05-05,49.9,46,48,0.52,0,7.9,Boston
2021-05-06,61.7,47.8,54.1,0.008,0,15.7,Boston
2021-05-07,55.8,43.2,48.8,0,0,14.9,Boston
2021-05-08,52.2,41.6,47.6,0.024,0,10.2,Boston
2021-05-09,65.3,43.2,54.4,0.02,0,13.2,Boston
2021-05-10,59.1,48.4,53.3,0.382,0,7.7,Boston
2021-05-11,61.6,47.8,54.2,0.004,0,19.3,Boston
