season,round,circuit,driver_code,constructor_name,position
2019,1,Bahrain,HAM,Mercedes,1
2019,1,Bahrain,BOT,Mercedes,2
2019,1,Bahrain,LEC,Ferrari,3
2019,1,Bahrain,VER,Red Bull,4
2019,1,Bahrain,VET,Ferrari,5
2019,1,Bahrain,NOR,McLaren,6
2019,1,Bahrain,SAI,McLaren,8
2019,2,Shanghai,HAM,Mercedes,1
2019,2,Shanghai,BOT,Mercedes,2
2019,2,Shanghai,VET,Ferrari,3
2019,2,Shanghai,VER,Red Bull,4
2019,2,Shanghai,LEC,Ferrari,5
2019,2,Shanghai,NOR,McLaren,9
2019,2,Shanghai,SAI,McLaren,8
2019,3,Baku,BOT,Mercedes,1
2019,3,Baku,HAM,Mercedes,2
2019,3,Baku,VET,Ferrari,3
2019,3,Baku,VER,Red Bull,4
2019,3,Baku,LEC,Ferrari,5
2019,3,Baku,NOR,McLaren,8
2019,3,Baku,SAI,McLaren,7
2019,4,Barcelona,HAM,Mercedes,1
2019,4,Barcelona,BOT,Mercedes,2
2019,4,Barcelona,VER,Red Bull,3
2019,4,Barcelona,VET,Ferrari,4
2019,4,Barcelona,LEC,Ferrari,5
2019,4,Barcelona,NOR,McLaren,9
2019,4,Barcelona,SAI,McLaren,8
2019,5,Monaco,HAM,Mercedes,1
2019,5,Monaco,VET,Ferrari,2
2019,5,Monaco,BOT,Mercedes,3
2019,5,Monaco,VER,Red Bull,4
2019,5,Monaco,LEC,Ferrari,5
2019,5,Monaco,NOR,McLaren,7
2019,5,Monaco,SAI,McLaren,8
2019,6,Montreal,HAM,Mercedes,1
2019,6,Montreal,VET,Ferrari,2
2019,6,Montreal,LEC,Ferrari,3
2019,6,Montreal,BOT,Mercedes,4
2019,6,Montreal,VER,Red Bull,5
2019,6,Montreal,NOR,McLaren,6
2019,6,Montreal,SAI,McLaren,8
2019,7,Silverstone,HAM,Mercedes,1
2019,7,Silverstone,BOT,Mercedes,2
2019,7,Silverstone,LEC,Ferrari,3
2019,7,Silverstone,VER,Red Bull,5
2019,7,Silverstone,VET,Ferrari,4
2019,7,Silverstone,NOR,McLaren,9
2019,7,Silverstone,SAI,McLaren,6
2019,8,Spielberg,VER,Red Bull,1
2019,8,Spielberg,LEC,Ferrari,2
2019,8,Spielberg,BOT,Mercedes,3
2019,8,Spielberg,HAM,Mercedes,5
2019,8,Spielberg,VET,Ferrari,4
2019,8,Spielberg,NOR,McLaren,6
2019,8,Spielberg,SAI,McLaren,8
2019,9,Hockenheim,VER,Red Bull,1
2019,9,Hockenheim,VET,Ferrari,2
2019,9,Hockenheim,HAM,Mercedes,11
2019,9,Hockenheim,LEC,Ferrari,3
2019,9,Hockenheim,BOT,Mercedes,4
2019,9,Hockenheim,NOR,McLaren,5
2019,9,Hockenheim,SAI,McLaren,8
2019,10,Budapest,HAM,Mercedes,1
2019,10,Budapest,VER,Red Bull,2
2019,10,Budapest,VET,Ferrari,3
2019,10,Budapest,LEC,Ferrari,4
2019,10,Budapest,BOT,Mercedes,8
2019,10,Budapest,NOR,McLaren,5
2019,10,Budapest,SAI,McLaren,6
2019,11,Spa,LEC,Ferrari,1
2019,11,Spa,HAM,Mercedes,2
2019,11,Spa,BOT,Mercedes,3
2019,11,Spa,VET,Ferrari,4
2019,11,Spa,VER,Red Bull,5
2019,11,Spa,NOR,McLaren,9
2019,11,Spa,SAI,McLaren,7
2019,12,Monza,LEC,Ferrari,1
2019,12,Monza,BOT,Mercedes,2
2019,12,Monza,HAM,Mercedes,3
2019,12,Monza,VER,Red Bull,8
2019,12,Monza,VET,Ferrari,13
2019,12,Monza,NOR,McLaren,6
2019,12,Monza,SAI,McLaren,4
2019,13,Singapore,VET,Ferrari,1
2019,13,Singapore,LEC,Ferrari,2
2019,13,Singapore,VER,Red Bull,3
2019,13,Singapore,HAM,Mercedes,4
2019,13,Singapore,BOT,Mercedes,5
2019,13,Singapore,NOR,McLaren,7
