Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,Hello and welcome to our short survey. Your answers are completely anonymous and will be grouped together with all others and not looked at on an individual basis. What is your gender?,What is your age?,Which of the following areas of Illinois do you live in?,"If there are any firearms in your home or in any of your household's vehicles, are they...","If you were to obtain a firearm, how would you most likely store it?","If there are any firearms in your HOME, how are they stored? (please choose all that apply)",,,,,,,"If there are any firearms in any of your household's VEHICLES, how are they stored? (Please choose all that apply)",,,,Are there any children or teens living in your home (permanently or occasionally)?,"When your children or teens visit friends or other homes, do you or someone else ever ask about the presence of firearms and how they are stored?","Are there any children or teens EVER VISITING your home (including grandchildren, other relatives, friends or others)?",Have you ever seen or heard information on how and why to store firearms safely?,Would you consider the area you live to be...?,Age,Device Type,Gender,Household Income,Region
,,,,,,,,,,Response,Response,Response,Response,Response,Cable lock,"Biometric (Fingerprint, etc.) safe",Locked safe or case (not biometric),Trigger Lock,Other type of lock or safe (including locked cabinet or other locked area),"Drawer, nightstand or other UNLOCKED area",No firearms in home,"Biometric (fingerprint, etc.) safe secured to vehicle",Locked safe or case (not biometric) secured to vehicle,"Trunk, glovebox, under seat or other hidden but unsecured place",No firearms in any household vehicles,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
118441051294,453292315,10/11/2023 03:24:37 PM,10/11/2023 03:25:18 PM,,,,,81c111b8918e3a4e7faf2f991d,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,"Biometric (Fingerprint, etc.) safe",,,,,,,Locked safe or case (not biometric) secured to vehicle,,,Yes,Children not old enough/don't visit other homes,,Yes,Urban/city,18-29,Android Phone / Tablet,Male,"$10,000-$24,999",East North Central
118441049186,453292315,10/11/2023 03:22:16 PM,10/11/2023 03:22:49 PM,,,,,6008081259db0b638742a96f04,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,No/don't recall,Suburban,18-29,iOS Phone / Tablet,Male,"$125,000-$149,999",East North Central
118441044163,453292315,10/11/2023 03:15:51 PM,10/11/2023 03:16:53 PM,,,,,aa662fbf96507cd74e98a174eb,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,No,No/don't recall,Urban/city,45-60,Android Phone / Tablet,Male,"$50,000-$74,999",East North Central
118441036832,453292315,10/11/2023 03:07:25 PM,10/11/2023 03:08:31 PM,,,,,cc0a180979dd2dfac49344ef90,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)","Some locked, some unlocked",,,,Locked safe or case (not biometric),,,,,,Locked safe or case (not biometric) secured to vehicle,,,Yes,No,,No/don't recall,Suburban,18-29,iOS Phone / Tablet,Male,"$10,000-$24,999",East North Central
118441035448,453292315,10/11/2023 03:04:19 PM,10/11/2023 03:07:08 PM,,,,,cdf9b5f067b5e3996a21c5e7b1,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Other type of lock or safe (including cabinet or other locked area),,,,,,,,,,,,No,,No,Yes,Suburban,30-44,iOS Phone / Tablet,Male,"$0-$9,999",East North Central
118441032152,453292315,10/11/2023 03:02:31 PM,10/11/2023 03:03:33 PM,,,,,ab02853dbf2e93aa054e0a0d64,smc,Male,35-54,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,No,,Yes,Suburban,45-60,Android Phone / Tablet,Male,"$50,000-$74,999",East North Central
118441027859,453292315,10/11/2023 02:57:52 PM,10/11/2023 02:59:04 PM,,,,,d46414bde33cff7a4e355b4827,smc,Male,21-34,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,Children not old enough/don't visit other homes,,Yes,Rural,30-44,iOS Phone / Tablet,Male,"$50,000-$74,999",East North Central
118441020092,453292315,10/11/2023 02:49:14 PM,10/11/2023 02:50:25 PM,,,,,d2274029a47ccf57f17ed0dfda,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",,,,,,,,,No firearms in any household vehicles,Yes,No,,Yes,Urban/city,30-44,iOS Phone / Tablet,Male,"$75,000-$99,999",East North Central
118441009486,453292315,10/11/2023 02:38:25 PM,10/11/2023 02:39:04 PM,,,,,93e94833ca55cb42b6a6990e3f,smc,Male,21-34,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,No,,No,Yes,Urban/city,18-29,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
118441005570,453292315,10/11/2023 02:34:19 PM,10/11/2023 02:34:45 PM,,,,,52dd33aaa4d962f209b30228c6,smc,Male,35-54,"Central (Peoria, Champaign, Springfield, etc.)",All Unlocked,,,,,,Other type of lock or safe (including locked cabinet or other locked area),,,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,Yes,,Yes,Urban/city,30-44,iOS Phone / Tablet,Male,Prefer not to answer,East North Central
118441004821,453292315,10/11/2023 02:32:02 PM,10/11/2023 02:33:57 PM,,,,,840e787741651a38cdd689fb35,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,No/don't recall,Suburban,18-29,iOS Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440998643,453292315,10/11/2023 02:25:55 PM,10/11/2023 02:27:23 PM,,,,,f4370e521195bb42e0076af10b,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,,,No firearms in any household vehicles,No,,Yes,Yes,Suburban,30-44,iOS Phone / Tablet,Female,"$125,000-$149,999",East North Central
118440995329,453292315,10/11/2023 02:22:48 PM,10/11/2023 02:23:47 PM,,,,,9898b3e376758dc12d01ad6229,smc,Male,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,,,,"Drawer, nightstand or other UNLOCKED area",,,,,No firearms in any household vehicles,No,,Yes,Yes,Suburban,18-29,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440995110,453292315,10/11/2023 02:22:12 PM,10/11/2023 02:23:32 PM,,,,,723288cf1d16a6afb2dfd5b163,smc,Female,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,"Biometric (Fingerprint, etc.) safe",,,,,,,,,No firearms in any household vehicles,Yes,No,,Yes,Suburban,30-44,iOS Phone / Tablet,Female,"$75,000-$99,999",East North Central
118440994146,453292315,10/11/2023 02:21:39 PM,10/11/2023 02:22:31 PM,,,,,ba183c19bd45cad263591722cd,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),,,,,,,"Trunk, glovebox, under seat or other hidden but unsecured place",,Yes,No,,No/don't recall,Suburban,30-44,iOS Phone / Tablet,Female,"$25,000-$49,999",East North Central
118440992448,453292315,10/11/2023 02:20:05 PM,10/11/2023 02:20:42 PM,,,,,38ec8d9773a3ad8dc8c4a258c7,smc,Female,35-54,"North West or North Central (Rockford, DeKalb, Moline, Rock Island, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,Yes,,Yes,Suburban,30-44,Android Phone / Tablet,Female,"$175,000-$199,999",East North Central
118440992236,453292315,10/11/2023 02:19:28 PM,10/11/2023 02:20:29 PM,,,,,c7c74799d2df66dcd1862f7383,smc,Male,21-34,"Central (Peoria, Champaign, Springfield, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Urban/city,18-29,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440989293,453292315,10/11/2023 02:16:16 PM,10/11/2023 02:17:25 PM,,,,,c6451c5e8ba2f4531368dab0cc,smc,Male,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All locked,,,,Locked safe or case (not biometric),,Other type of lock or safe (including locked cabinet or other locked area),,,,,,No firearms in any household vehicles,No,,No,Yes,Rural,18-29,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
118440989291,453292315,10/11/2023 02:16:07 PM,10/11/2023 02:17:24 PM,,,,,ee29080669157bb1a50b889092,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,"Biometric (fingerprint, etc.) safe",,,,,,,,,,,,Yes,Children not old enough/don't visit other homes,,No/don't recall,Urban/city,30-44,Android Phone / Tablet,Female,"$0-$9,999",East North Central
118440981505,453292315,10/11/2023 02:08:15 PM,10/11/2023 02:09:32 PM,,,,,928a69f4a5248b7812a88d0bab,smc,Male,55+,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All Unlocked,,,,Locked safe or case (not biometric),,Other type of lock or safe (including locked cabinet or other locked area),,,,,,No firearms in any household vehicles,No,,No,Yes,Rural,45-60,iOS Phone / Tablet,Male,"$200,000+",East North Central
118440980960,453292315,10/11/2023 02:07:25 PM,10/11/2023 02:08:58 PM,,,,,068deee2b54fc6f29f347bf648,smc,Female,21-34,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,No,,No,Yes,Urban/city,18-29,iOS Phone / Tablet,Female,"$10,000-$24,999",East North Central
118440980491,453292315,10/11/2023 02:07:26 PM,10/11/2023 02:08:22 PM,,,,,5723b4af04cc5cf7e6c0c523fd,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",No firearms in home or vehicles,Locked safe or case (not biometric),,,,,,,,,,,,Yes,Yes,,No/don't recall,Suburban,30-44,Android Phone / Tablet,Male,"$125,000-$149,999",East North Central
118440980469,453292315,10/11/2023 02:08:07 PM,10/11/2023 02:08:21 PM,,,,,7c7e9a45f2f782213062c9c3cb,smc,Male,21-34,"Central (Peoria, Champaign, Springfield, etc.)",All Unlocked,,,"Biometric (Fingerprint, etc.) safe",Locked safe or case (not biometric),,,,,"Biometric (fingerprint, etc.) safe secured to vehicle",Locked safe or case (not biometric) secured to vehicle,,,Yes,Yes,,Yes,Urban/city,18-29,iOS Phone / Tablet,Male,"$75,000-$99,999",East North Central
118440979164,453292315,10/11/2023 02:05:47 PM,10/11/2023 02:06:52 PM,,,,,be8c933818465c5064775ca904,smc,Male,35-54,"North East (Chicago, Suburbs of Chicago, Joliet, Aurora, Waukegan, Evanston, etc.)",All locked,,,,Locked safe or case (not biometric),Trigger Lock,,,,,,,No firearms in any household vehicles,Yes,Yes,,Yes,Suburban,45-60,Android Phone / Tablet,Male,"$25,000-$49,999",East North Central
