0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7,0,61,6.69230769231,2,4,1,0,2,2,4,3,1,2,3,1,1
7,0,58,7.73076923077,0,2,3,1,2,1,2,4,1,3,3,2,2
7,1,88,7.42307692308,1,0,2,3,4,1,2,3,0,4,2,4,0
7,1,91,6.96153846154,2,2,3,2,0,1,2,3,4,2,3,1,1
7,0,273,7.23076923077,1,1,4,1,3,3,1,1,1,4,2,2,2
7,1,31,7.19230769231,1,0,3,3,2,2,2,3,3,3,1,2,1
7,0,120,6.96153846154,2,2,1,2,2,2,4,3,2,1,1,1,3
7,1,126,7.0,2,2,1,3,3,0,3,2,2,2,3,1,2
7,1,63,6.0,2,3,4,3,1,2,1,1,3,3,1,2,0
7,1,128,6.80769230769,1,2,2,4,3,1,2,1,2,2,3,3,0
7,1,34,7.26923076923,3,0,2,2,3,1,1,3,2,3,2,2,2
7,1,35,7.5,0,3,1,2,2,3,2,2,3,1,3,2,2
7,0,43,7.26923076923,3,2,1,3,2,0,1,0,3,4,3,2,2
7,1,147,6.84615384615,2,3,2,3,0,3,1,1,3,2,2,2,2
7,1,81,8.11538461538,0,2,2,2,1,1,1,4,2,3,3,3,2
7,1,51,6.38461538462,3,3,3,1,3,2,0,2,1,2,2,2,2
7,1,140,6.73076923077,1,3,3,3,3,1,1,1,3,1,0,4,2
7,0,32,7.92307692308,1,2,1,1,3,2,2,1,3,1,3,3,3
7,1,65,6.84615384615,3,2,2,2,1,1,3,1,3,1,4,3,0
7,1,38,7.34615384615,0,1,3,2,2,4,2,3,1,3,1,2,2
7,1,79,7.46153846154,2,2,2,2,1,1,2,1,3,3,2,3,2
7,1,279,6.07692307692,2,4,3,2,2,1,1,1,4,3,2,1,0
7,0,83,7.15384615385,1,3,3,2,1,2,3,1,1,1,2,3,3
7,1,96,6.76923076923,3,3,1,2,1,1,2,3,2,3,2,2,1
7,0,193,5.84615384615,2,3,4,2,1,4,1,2,2,2,2,1,0
7,0,93,7.26923076923,2,2,2,1,1,3,2,2,3,2,1,3,2
7,1,97,6.84615384615,2,2,3,2,2,1,1,2,2,3,4,2,0
7,0,81,6.07692307692,2,3,4,3,1,2,2,1,2,2,1,1,2
7,0,21,6.69230769231,2,2,3,3,1,1,4,1,2,1,2,2,2
7,1,95,7.5,2,3,0,1,2,2,2,2,2,3,3,2,2
7,1,72,6.65384615385,2,1,4,3,1,2,2,2,1,3,2,2,1
7,0,209,7.03846153846,1,3,2,0,3,2,2,4,2,3,1,1,2
7,1,81,7.61538461538,2,2,2,1,0,2,2,2,4,2,3,1,3
7,1,55,6.38461538462,2,3,1,4,2,2,2,2,1,3,2,0,2
7,0,41,6.84615384615,3,2,3,1,2,1,3,1,1,2,3,1,3
7,1,92,6.53846153846,2,4,3,2,0,4,1,1,0,2,2,3,2
7,1,33,6.42307692308,3,0,4,1,3,2,3,2,3,2,1,0,2
7,1,176,7.30769230769,1,2,2,4,1,1,2,2,3,0,3,3,2
7,0,28,7.65384615385,0,3,0,2,3,3,3,0,2,3,3,2,2
7,1,116,6.84615384615,1,2,3,2,1,3,3,3,1,2,2,2,1
7,0,229,6.23076923077,2,3,4,1,2,2,2,2,2,2,1,2,1
7,1,25,7.15384615385,2,2,1,2,2,1,3,3,3,2,1,2,2
7,0,85,7.88461538462,2,0,2,1,2,2,2,2,2,4,2,4,1
7,0,81,7.5,0,1,3,4,0,2,3,2,2,3,2,3,1
7,0,159,7.53846153846,1,1,2,3,3,2,1,2,0,3,3,3,2
7,0,54,7.26923076923,2,2,1,4,2,1,1,1,1,4,3,1,3
7,0,79,7.5,2,1,2,1,2,2,2,3,3,1,2,3,2
7,1,53,6.88461538462,1,2,3,2,2,2,3,2,1,3,2,2,1
7,0,88,6.96153846154,2,3,0,2,3,3,2,2,0,4,1,1,3
